Model,TBS 1062,
Firmware Version,CF:91.1CT FV:v26.02,
,,
Waveform Type,ANALOG,ANALOG
Point Format,Y,Y
Horizontal Units,"s","s"
Horizontal Scale,0.1,0.1
Horizontal Delay,0,0
Sample Interval,0.0004,0.0004
Record Length,2500,2500
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,10X,10X
Vertical Units,"Volts","Volts"
Vertical Offset,0,0
Vertical Scale,5,0.2
Vertical Position,164,-9.2
,,
,,
,,
Label,,
TIME,CH1,CH2
-4.6608,-8.1997E+07,18374.4
-4.6604,-8.1997E+07,18373.6
-4.66,-8.1997E+07,18374.4
-4.6596,-8.1997E+07,18372.8
-4.6592,-8.1997E+07,18374.4
-4.6588,-8.1997E+07,18375.2
-4.6584,-8.1997E+07,18376
-4.658,-8.1997E+07,18374.4
-4.6576,-8.1997E+07,18375.2
-4.6572,-8.19972E+07,18375.2
-4.6568,-8.19972E+07,18376
-4.6564,-8.19972E+07,18376
-4.656,-8.19972E+07,18375.2
-4.6556,-8.19972E+07,18375.2
-4.6552,-8.19972E+07,18375.2
-4.6548,-8.19972E+07,18376
-4.6544,-8.19972E+07,18376
-4.654,-8.19972E+07,18376
-4.6536,-8.19974E+07,18376
-4.6532,-8.19972E+07,18377.6
-4.6528,-8.19974E+07,18376.8
-4.6524,-8.19974E+07,18376
-4.652,-8.19974E+07,18376
-4.6516,-8.19974E+07,18376.8
-4.6512,-8.19974E+07,18376.8
-4.6508,-8.19974E+07,18377.6
-4.6504,-8.19974E+07,18376.8
-4.65,-8.19974E+07,18377.6
-4.6496,-8.19974E+07,18377.6
-4.6492,-8.19974E+07,18377.6
-4.6488,-8.19976E+07,18378.4
-4.6484,-8.19976E+07,18376.8
-4.648,-8.19974E+07,18376.8
-4.6476,-8.19976E+07,18378.4
-4.6472,-8.19976E+07,18376.8
-4.6468,-8.19976E+07,18378.4
-4.6464,-8.19976E+07,18379.2
-4.646,-8.19976E+07,18378.4
-4.6456,-8.19976E+07,18378.4
-4.6452,-8.19976E+07,18379.2
-4.6448,-8.19976E+07,18378.4
-4.6444,-8.19976E+07,18380
-4.644,-8.19976E+07,18378.4
-4.6436,-8.19978E+07,18378.4
-4.6432,-8.19976E+07,18379.2
-4.6428,-8.19978E+07,18380
-4.6424,-8.19978E+07,18379.2
-4.642,-8.19978E+07,18379.2
-4.6416,-8.19978E+07,18380
-4.6412,-8.19978E+07,18380
-4.6408,-8.19978E+07,18380
-4.6404,-8.19978E+07,18380
-4.64,-8.19978E+07,18380
-4.6396,-8.1998E+07,18380
-4.6392,-8.1998E+07,18380
-4.6388,-8.19978E+07,18380
-4.6384,-8.1998E+07,18380.8
-4.638,-8.1998E+07,18380.8
-4.6376,-8.1998E+07,18379.2
-4.6372,-8.1998E+07,18380
-4.6368,-8.1998E+07,18380.8
