Model,TBS 1062
Firmware Version,CF:91.1CT FV:v26.02
,
Waveform Type,ANALOG
Point Format,Y
Horizontal Units,"s"
Horizontal Scale,0.1
Horizontal Delay,0
Sample Interval,0.0004
Record Length,2500
Gating,0.0% to 100.0%
Probe Attenuation,10X
Vertical Units,"Volts"
Vertical Offset,0
Vertical Scale,5
Vertical Position,1.2
,
,
,
Label,
TIME,CH1
-4.6432,-8.400001
-4.6428,-8.400001
-4.6424,-8.400001
-4.642,-8.400001
-4.6416,-8.400001
-4.6412,-8.6
-4.6408,-8.6
-4.6404,-8.6
-4.64,-8.6
-4.6396,-8.6
-4.6392,-8.6
-4.6388,-8.6
-4.6384,-8.6
-4.638,-8.6
-4.6376,-8.6
-4.6372,-8.6
-4.6368,-8.400001
-4.6364,-8.6
-4.636,-8.6
-4.6356,-8.6
-4.6352,-8.6
-4.6348,-8.6
-4.6344,-8.400001
-4.634,-8.6
-4.6336,-8.400001
-4.6332,-8.6
-4.6328,-8.400001
-4.6324,-8.6
-4.632,-8.400001
-4.6316,-8.400001
-4.6312,-8.400001
-4.6308,-8.400001
-4.6304,-8.6
-4.63,-8.400001
-4.6296,-8.400001
-4.6292,-8.400001
-4.6288,-8.400001
-4.6284,-8.400001
-4.628,-8.6
-4.6276,-8.400001
-4.6272,-8.6
-4.6268,-8.6
-4.6264,-8.6
-4.626,-8.400001
-4.6256,-8.400001
-4.6252,-8.400001
-4.6248,-8.400001
-4.6244,-8.2
-4.624,-8.2
-4.6236,-8.2
-4.6232,-8.400001
-4.6228,-8.2
-4.6224,-8.400001
-4.622,-8.2
-4.6216,-8.2
-4.6212,-8.2
-4.6208,-8
-4.6204,-8.2
-4.62,-8.2
-4.6196,-8.2
-4.6192,-8.2
-4.6188,-8
-4.6184,-8
-4.618,-8
-4.6176,-8
-4.6172,-8
-4.6168,-8
-4.6164,-8
-4.616,-8
-4.6156,-7.8
-4.6152,-8
-4.6148,-7.8
-4.6144,-8
-4.614,-7.8
-4.6136,-8
-4.6132,-7.8
-4.6128,-7.8
-4.6124,-7.6
-4.612,-7.8
-4.6116,-7.6
-4.6112,-7.8
-4.6108,-7.6
-4.6104,-7.4
-4.61,-7.6
-4.6096,-7.8
-4.6092,-7.6
-4.6088,-7.4
-4.6084,-7.6
-4.608,-7.4
-4.6076,-7.4
-4.6072,-7.4
-4.6068,-7.4
-4.6064,-7.4
-4.606,-7.2
-4.6056,-7.2
-4.6052,-7.2
-4.6048,-7.2
-4.6044,-7.2
-4.604,-7.2
-4.6036,-7
-4.6032,-7.2
-4.6028,-7
-4.6024,-7
-4.602,-7
-4.6016,-7.2
-4.6012,-7
-4.6008,-6.8
-4.6004,-7
-4.6,-6.8
-4.5996,-6.8
-4.5992,-6.8
-4.5988,-6.8
-4.5984,-6.8
-4.598,-6.8
-4.5976,-6.8
-4.5972,-6.6
-4.5968,-6.6
-4.5964,-6.6
-4.596,-6.8
-4.5956,-6.6
-4.5952,-6.6
-4.5948,-6.6
-4.5944,-6.6
-4.594,-6.4
-4.5936,-6.6
-4.5932,-6.4
-4.5928,-6.2
-4.5924,-6.4
-4.592,-6.4
-4.5916,-6.2
-4.5912,-6.2
-4.5908,-6.2
-4.5904,-6.2
-4.59,-6.2
-4.5896,-6.4
-4.5892,-6.2
-4.5888,-6
-4.5884,-6.2
-4.588,-6
-4.5876,-5.8
-4.5872,-5.8
-4.5868,-5.8
-4.5864,-5.8
-4.586,-5.6
-4.5856,-5.6
-4.5852,-5.8
-4.5848,-5.6
-4.5844,-5.6
-4.584,-5.6
-4.5836,-5.6
-4.5832,-5.6
-4.5828,-5.6
-4.5824,-5.4
-4.582,-5.2
-4.5816,-5.4
-4.5812,-5.4
-4.5808,-5.4
-4.5804,-5.4
-4.58,-5.2
-4.5796,-5.4
-4.5792,-5.2
-4.5788,-5.2
-4.5784,-5
-4.578,-5
-4.5776,-5.2
-4.5772,-5.2
-4.5768,-5.2
-4.5764,-5
-4.576,-5
-4.5756,-4.8
-4.5752,-5
-4.5748,-5
-4.5744,-4.8
-4.574,-4.8
-4.5736,-4.8
-4.5732,-4.8
-4.5728,-4.6
-4.5724,-4.6
-4.572,-4.6
-4.5716,-4.6
-4.5712,-4.6
-4.5708,-4.4
-4.5704,-4.6
-4.57,-4.4
-4.5696,-4.4
-4.5692,-4.6
-4.5688,-4.4
-4.5684,-4.4
-4.568,-4.4
-4.5676,-4.4
-4.5672,-4.4
-4.5668,-4.4
-4.5664,-4.2
-4.566,-4.4
-4.5656,-4.4
-4.5652,-4.2
-4.5648,-4
-4.5644,-4
-4.564,-4.2
-4.5636,-4.2
-4.5632,-4.2
-4.5628,-4
-4.5624,-4
-4.562,-4
-4.5616,-4.2
-4.5612,-3.8
-4.5608,-3.8
-4.5604,-3.8
-4.56,-3.8
-4.5596,-3.8
-4.5592,-3.6
-4.5588,-3.6
-4.5584,-3.8
-4.558,-3.6
-4.5576,-3.6
-4.5572,-3.4
-4.5568,-3.6
-4.5564,-3.6
-4.556,-3.6
-4.5556,-3.6
-4.5552,-3.4
-4.5548,-3.4
-4.5544,-3.4
-4.554,-3.4
-4.5536,-3.4
-4.5532,-3.4
-4.5528,-3.4
-4.5524,-3.2
-4.552,-3.4
-4.5516,-3.4
-4.5512,-3.2
-4.5508,-3.2
-4.5504,-3.2
-4.55,-3.2
-4.5496,-3.2
-4.5492,-3
-4.5488,-3
-4.5484,-3
-4.548,-3
-4.5476,-3
-4.5472,-3
-4.5468,-3
-4.5464,-3
-4.546,-3
-4.5456,-2.8
-4.5452,-2.8
-4.5448,-2.8
-4.5444,-2.8
-4.544,-3
-4.5436,-2.8
-4.5432,-2.8
-4.5428,-2.8
-4.5424,-2.8
-4.542,-2.8
-4.5416,-2.6
-4.5412,-2.6
-4.5408,-2.8
-4.5404,-2.6
-4.54,-2.6
-4.5396,-2.6
-4.5392,-2.6
-4.5388,-2.4
-4.5384,-2.6
-4.538,-2.4
-4.5376,-2.4
-4.5372,-2.4
-4.5368,-2.4
-4.5364,-2.4
-4.536,-2.4
-4.5356,-2.4
-4.5352,-2.4
-4.5348,-2.4
-4.5344,-2.2
-4.534,-2.4
-4.5336,-2.4
-4.5332,-2.2
-4.5328,-2.4
-4.5324,-2.2
-4.532,-2.2
-4.5316,-2.2
-4.5312,-2.2
-4.5308,-2.2
-4.5304,-2
-4.53,-2.2
-4.5296,-2.2
-4.5292,-2.2
-4.5288,-2.2
-4.5284,-2.2
-4.528,-2.2
-4.5276,-2.2
-4.5272,-2
-4.5268,-2
-4.5264,-2
-4.526,-1.8
-4.5256,-2
-4.5252,-2
-4.5248,-1.8
-4.5244,-2
-4.524,-2
-4.5236,-2
-4.5232,-1.8
-4.5228,-1.8
-4.5224,-1.8
-4.522,-1.8
-4.5216,-1.8
-4.5212,-1.8
-4.5208,-1.8
-4.5204,-1.8
-4.52,-1.8
-4.5196,-1.6
-4.5192,-1.8
-4.5188,-1.6
-4.5184,-1.6
-4.518,-1.6
-4.5176,-1.8
-4.5172,-1.6
-4.5168,-1.8
-4.5164,-1.6
-4.516,-1.8
-4.5156,-1.6
-4.5152,-1.6
-4.5148,-1.6
-4.5144,-1.6
